Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([500]), u'n_hidden_layers': array([8]), u'learning_rate': array([ 0.05953103]), u'beta': array([ 100.])}
('Epoch:', '0050', 'training cost=', '21.140796677')
('Epoch:', '0050', 'test cost=', '0.641548514')
('Epoch:', '0051', 'training cost=', '20.977845411')
('Epoch:', '0051', 'test cost=', '0.640978992')
('Epoch:', '0052', 'training cost=', '21.328780416')
('Epoch:', '0052', 'test cost=', '0.642176151')
('Epoch:', '0053', 'training cost=', '21.106611959')
('Epoch:', '0053', 'test cost=', '0.640851140')
('Epoch:', '0054', 'training cost=', '21.032115707')
('Epoch:', '0054', 'test cost=', '0.646183014')
('Epoch:', '0055', 'training cost=', '21.050941223')
('Epoch:', '0055', 'test cost=', '0.640836000')
('Epoch:', '0056', 'training cost=', '21.096705072')
('Epoch:', '0056', 'test cost=', '0.646489382')
('Epoch:', '0057', 'training cost=', '21.102216110')
('Epoch:', '0057', 'test cost=', '0.643796027')
('Epoch:', '0058', 'training cost=', '21.125482805')
('Epoch:', '0058', 'test cost=', '0.641208768')
('Epoch:', '0059', 'training cost=', '21.123529488')
('Epoch:', '0059', 'test cost=', '0.641019821')
('Epoch:', '0060', 'training cost=', '21.117116308')
('Epoch:', '0060', 'test cost=', '0.640996695')
('Epoch:', '0061', 'training cost=', '21.133935577')
('Epoch:', '0061', 'test cost=', '0.640784860')
('Epoch:', '0062', 'training cost=', '21.142243517')
('Epoch:', '0062', 'test cost=', '0.643470049')
('Epoch:', '0063', 'training cost=', '21.135078728')
('Epoch:', '0063', 'test cost=', '0.643480837')
('Epoch:', '0064', 'training cost=', '21.133164436')
('Epoch:', '0064', 'test cost=', '0.646465421')
('Epoch:', '0065', 'training cost=', '21.149150303')
('Epoch:', '0065', 'test cost=', '0.641293406')
('Epoch:', '0066', 'training cost=', '21.122617970')
('Epoch:', '0066', 'test cost=', '0.641194701')
('Epoch:', '0067', 'training cost=', '21.099381016')
('Epoch:', '0067', 'test cost=', '0.640773296')
('Epoch:', '0068', 'training cost=', '20.962019457')
('Epoch:', '0068', 'test cost=', '0.641065538')
('Epoch:', '0069', 'training cost=', '21.137072634')
('Epoch:', '0069', 'test cost=', '0.640969574')
('Epoch:', '0070', 'training cost=', '21.155312067')
('Epoch:', '0070', 'test cost=', '0.642676532')
('Epoch:', '0071', 'training cost=', '21.168099297')
('Epoch:', '0071', 'test cost=', '0.643150568')
('Epoch:', '0072', 'training cost=', '21.150756880')
('Epoch:', '0072', 'test cost=', '0.641607881')
('Epoch:', '0073', 'training cost=', '21.124167589')
('Epoch:', '0073', 'test cost=', '0.641718626')
('Epoch:', '0074', 'training cost=', '21.128358255')
('Epoch:', '0074', 'test cost=', '0.641655624')
('Epoch:', '0075', 'training cost=', '21.145129204')
('Epoch:', '0075', 'test cost=', '0.643093646')
('Epoch:', '0076', 'training cost=', '21.132448395')
('Epoch:', '0076', 'test cost=', '0.643726587')
('Epoch:', '0077', 'training cost=', '21.123013687')
('Epoch:', '0077', 'test cost=', '0.641266108')
('Epoch:', '0078', 'training cost=', '21.117611115')
('Epoch:', '0078', 'test cost=', '0.642339945')
('Epoch:', '0079', 'training cost=', '21.133617918')
('Epoch:', '0079', 'test cost=', '0.641215682')
('Epoch:', '0080', 'training cost=', '21.123606335')
('Epoch:', '0080', 'test cost=', '0.641466677')
('Epoch:', '0081', 'training cost=', '21.125819468')
('Epoch:', '0081', 'test cost=', '0.641010165')
('Epoch:', '0082', 'training cost=', '21.129081970')
('Epoch:', '0082', 'test cost=', '0.640941501')
('Epoch:', '0083', 'training cost=', '21.128261497')
('Epoch:', '0083', 'test cost=', '0.640821040')
('Epoch:', '0084', 'training cost=', '21.137769943')
('Epoch:', '0084', 'test cost=', '0.641214311')
('Epoch:', '0085', 'training cost=', '21.122050510')
('Epoch:', '0085', 'test cost=', '0.647398710')
('Epoch:', '0086', 'training cost=', '21.131732574')
('Epoch:', '0086', 'test cost=', '0.641334772')
('Epoch:', '0087', 'training cost=', '21.120976076')
('Epoch:', '0087', 'test cost=', '0.644451261')
('Epoch:', '0088', 'training cost=', '21.135362577')
('Epoch:', '0088', 'test cost=', '0.640831530')
('Epoch:', '0089', 'training cost=', '21.121446434')
('Epoch:', '0089', 'test cost=', '0.643575370')
('Epoch:', '0090', 'training cost=', '21.127974577')
('Epoch:', '0090', 'test cost=', '0.642336905')
('Epoch:', '0091', 'training cost=', '21.127545792')
('Epoch:', '0091', 'test cost=', '0.642872274')
('Epoch:', '0092', 'training cost=', '21.144315260')
('Epoch:', '0092', 'test cost=', '0.641086996')
('Epoch:', '0093', 'training cost=', '21.046651018')
('Epoch:', '0093', 'test cost=', '0.640914083')
('Epoch:', '0094', 'training cost=', '21.092638367')
('Epoch:', '0094', 'test cost=', '0.653653800')
('Epoch:', '0095', 'training cost=', '21.163551771')
('Epoch:', '0095', 'test cost=', '0.641780972')
('Epoch:', '0096', 'training cost=', '21.145805077')
('Epoch:', '0096', 'test cost=', '0.640906572')
('Epoch:', '0097', 'training cost=', '21.140031319')
('Epoch:', '0097', 'test cost=', '0.644593179')
('Epoch:', '0098', 'training cost=', '21.149964535')
('Epoch:', '0098', 'test cost=', '0.645811439')
('Epoch:', '0099', 'training cost=', '21.129087399')
('Epoch:', '0099', 'test cost=', '0.644340515')
('Epoch:', '0100', 'training cost=', '21.103613838')
('Epoch:', '0100', 'test cost=', '0.642340720')
('Epoch:', '0101', 'training cost=', '21.132955965')
('Epoch:', '0101', 'test cost=', '0.641110241')
('Epoch:', '0102', 'training cost=', '21.139215673')
('Epoch:', '0102', 'test cost=', '0.644089580')
('Epoch:', '0103', 'training cost=', '21.110540062')
('Epoch:', '0103', 'test cost=', '0.640811205')
('Epoch:', '0104', 'training cost=', '21.128707039')
('Epoch:', '0104', 'test cost=', '0.640844524')
('Epoch:', '0105', 'training cost=', '21.142498783')
('Epoch:', '0105', 'test cost=', '0.642822683')
('Epoch:', '0106', 'training cost=', '21.116948956')
('Epoch:', '0106', 'test cost=', '0.640916288')
('Epoch:', '0107', 'training cost=', '21.132892872')
('Epoch:', '0107', 'test cost=', '0.641127884')
('Epoch:', '0108', 'training cost=', '21.150160286')
('Epoch:', '0108', 'test cost=', '0.640876770')
('Epoch:', '0109', 'training cost=', '21.123000504')
('Epoch:', '0109', 'test cost=', '0.643613875')
('Epoch:', '0110', 'training cost=', '21.134443100')
('Epoch:', '0110', 'test cost=', '0.640827596')
('Epoch:', '0111', 'training cost=', '21.135200041')
('Epoch:', '0111', 'test cost=', '0.644237280')
('Epoch:', '0112', 'training cost=', '21.128897661')
('Epoch:', '0112', 'test cost=', '0.641659677')
('Epoch:', '0113', 'training cost=', '21.125549314')
('Epoch:', '0113', 'test cost=', '0.640863240')
('Epoch:', '0114', 'training cost=', '21.140779474')
('Epoch:', '0114', 'test cost=', '0.640785575')
('Epoch:', '0115', 'training cost=', '21.139431934')
('Epoch:', '0115', 'test cost=', '0.643392026')
('Epoch:', '0116', 'training cost=', '21.115335308')
('Epoch:', '0116', 'test cost=', '0.642098904')
('Epoch:', '0117', 'training cost=', '21.127347670')
('Epoch:', '0117', 'test cost=', '0.641012728')
('Epoch:', '0118', 'training cost=', '21.150513803')
('Epoch:', '0118', 'test cost=', '0.640804708')
('Epoch:', '0119', 'training cost=', '21.127032515')
('Epoch:', '0119', 'test cost=', '0.640797853')
('Epoch:', '0120', 'training cost=', '21.119168905')
('Epoch:', '0120', 'test cost=', '0.641265094')
('Epoch:', '0121', 'training cost=', '21.137014969')
('Epoch:', '0121', 'test cost=', '0.641458809')
('Epoch:', '0122', 'training cost=', '21.125865101')
('Epoch:', '0122', 'test cost=', '0.640919626')
('Epoch:', '0123', 'training cost=', '21.126062611')
('Epoch:', '0123', 'test cost=', '0.640804410')
('Epoch:', '0124', 'training cost=', '21.133473427')
('Epoch:', '0124', 'test cost=', '0.647946298')
('Epoch:', '0125', 'training cost=', '21.130864964')
('Epoch:', '0125', 'test cost=', '0.641132355')
('Epoch:', '0126', 'training cost=', '21.129099928')
('Epoch:', '0126', 'test cost=', '0.643251002')
('Epoch:', '0127', 'training cost=', '21.124838133')
('Epoch:', '0127', 'test cost=', '0.640812695')
('Epoch:', '0128', 'training cost=', '21.140392757')
('Epoch:', '0128', 'test cost=', '0.641550899')
('Epoch:', '0129', 'training cost=', '21.118797155')
('Epoch:', '0129', 'test cost=', '0.640840530')
('Epoch:', '0130', 'training cost=', '21.119562164')
('Epoch:', '0130', 'test cost=', '0.641099036')
('Epoch:', '0131', 'training cost=', '21.149099245')
('Epoch:', '0131', 'test cost=', '0.645182371')
('Epoch:', '0132', 'training cost=', '21.132712372')
('Epoch:', '0132', 'test cost=', '0.641484678')
('Epoch:', '0133', 'training cost=', '21.127661686')
('Epoch:', '0133', 'test cost=', '0.643339813')
('Epoch:', '0134', 'training cost=', '21.133439548')
('Epoch:', '0134', 'test cost=', '0.643476486')
('Epoch:', '0135', 'training cost=', '21.134802958')
('Epoch:', '0135', 'test cost=', '0.642129660')
('Epoch:', '0136', 'training cost=', '21.118460608')
('Epoch:', '0136', 'test cost=', '0.641516745')
('Epoch:', '0137', 'training cost=', '21.139752728')
('Epoch:', '0137', 'test cost=', '0.642855167')
('Epoch:', '0138', 'training cost=', '21.147464867')
('Epoch:', '0138', 'test cost=', '0.641028583')
('Epoch:', '0139', 'training cost=', '21.122825556')
('Epoch:', '0139', 'test cost=', '0.641000211')
('Epoch:', '0140', 'training cost=', '21.123812361')
('Epoch:', '0140', 'test cost=', '0.640809357')
('Epoch:', '0141', 'training cost=', '21.123386238')
('Epoch:', '0141', 'test cost=', '0.641546905')
('Epoch:', '0142', 'training cost=', '21.122800081')
